N_CL,N_SETS,tsc
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-16.934-17.416
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-20.289-20.289
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-19.361-19.555
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-20.289-20.289
7,7,tsc-16.934-17.416
7,6,tsc-13.948-14.786
6,6,tsc-19.361-19.555
7,7,tsc-13.948-14.786
7,6,tsc-13.948-14.786
4,4,tsc-16.934-17.416
5,5,tsc-16.934-17.416
5,5,tsc-20.289-20.289
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-15.945-16.342
6,5,tsc-13.948-14.786
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.753-11.091
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.753-11.091
5,4,tsc-10.523-10.750
1,1,tsc-10.523-10.750
2,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
2,2,tsc-13.948-14.786
3,3,tsc-16.934-17.416
3,3,tsc-16.934-17.416
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,3,tsc-13.948-14.786
3,3,tsc-16.934-17.416
4,4,tsc-15.945-16.342
4,3,tsc-16.934-17.416
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-19.361-19.555
5,5,tsc-16.934-17.416
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-16.934-17.416
3,3,tsc-16.934-17.416
4,4,tsc-13.948-14.786
4,4,tsc-15.945-16.342
4,4,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,4,tsc-18.445-18.734
4,4,tsc-13.948-14.786
5,5,tsc-18.445-18.734
5,4,tsc-13.948-14.786
1,1,tsc-10.523-10.750
2,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,2,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.753-11.091
4,3,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-16.934-17.416
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
4,4,tsc-19.361-19.555
5,5,tsc-13.948-14.786
5,4,tsc-16.934-17.416
4,4,tsc-13.948-14.786
5,5,tsc-18.445-18.734
5,5,tsc-15.945-16.342
5,5,tsc-16.934-17.416
6,6,tsc-13.948-14.786
6,5,tsc-18.445-18.734
5,5,tsc-18.445-18.734
6,6,tsc-13.948-14.786
6,5,tsc-15.945-16.342
4,4,tsc-18.445-18.734
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-16.934-17.416
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-15.945-16.342
6,5,tsc-16.934-17.416
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.753-11.091
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-20.289-20.289
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-19.361-19.555
5,5,tsc-13.948-14.786
5,4,tsc-16.934-17.416
4,4,tsc-16.934-17.416
5,5,tsc-18.445-18.734
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-20.289-20.289
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-16.934-17.416
6,6,tsc-20.289-20.289
6,5,tsc-16.934-17.416
3,3,tsc-16.934-17.416
4,4,tsc-20.289-20.289
4,4,tsc-19.361-19.555
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-16.934-17.416
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-16.934-17.416
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.753-11.091
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-20.289-20.289
5,4,tsc-19.361-19.555
4,4,tsc-16.934-17.416
5,5,tsc-13.948-14.786
5,4,tsc-15.945-16.342
4,4,tsc-13.948-14.786
5,5,tsc-18.445-18.734
5,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
3,3,tsc-13.948-14.786
4,4,tsc-15.945-16.342
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,4,tsc-16.934-17.416
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-18.445-18.734
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-16.934-17.416
6,6,tsc-13.948-14.786
6,5,tsc-15.945-16.342
5,5,tsc-16.934-17.416
6,6,tsc-13.948-14.786
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,6,tsc-13.948-14.786
7,7,tsc-13.948-14.786
7,6,tsc-13.948-14.786
6,6,tsc-15.945-16.342
7,7,tsc-18.445-18.734
7,6,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-13.948-14.786
4,4,tsc-16.934-17.416
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-16.934-17.416
3,3,tsc-13.948-14.786
4,4,tsc-16.934-17.416
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,4,tsc-16.934-17.416
4,4,tsc-16.934-17.416
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.753-11.091
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.753-11.091
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.753-11.091
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-16.934-17.416
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-18.445-18.734
5,5,tsc-16.934-17.416
6,6,tsc-20.289-20.289
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-15.945-16.342
7,7,tsc-20.289-20.289
7,6,tsc-16.934-17.416
6,6,tsc-13.948-14.786
7,7,tsc-16.934-17.416
7,6,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-15.945-16.342
5,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
7,7,tsc-10.523-10.750
7,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
7,7,tsc-10.753-11.091
7,6,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-18.445-18.734
6,6,tsc-13.948-14.786
7,7,tsc-16.934-17.416
7,6,tsc-13.948-14.786
6,6,tsc-16.934-17.416
7,7,tsc-18.445-18.734
7,6,tsc-13.948-14.786
6,6,tsc-13.948-14.786
7,7,tsc-13.948-14.786
7,7,tsc-16.934-17.416
7,7,tsc-16.934-17.416
8,8,tsc-16.934-17.416
8,7,tsc-13.948-14.786
7,7,tsc-19.361-19.555
8,8,tsc-16.934-17.416
8,7,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,6,tsc-18.445-18.734
6,6,tsc-13.948-14.786
7,7,tsc-13.948-14.786
7,6,tsc-13.948-14.786
6,6,tsc-13.948-14.786
7,7,tsc-13.948-14.786
7,6,tsc-13.948-14.786
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
7,7,tsc-10.523-10.750
7,6,tsc-10.523-10.750
6,6,tsc-10.523-10.750
7,7,tsc-10.523-10.750
7,6,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-18.445-18.734
5,5,tsc-16.934-17.416
5,5,tsc-16.934-17.416
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-18.445-18.734
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-13.948-14.786
5,5,tsc-16.934-17.416
6,6,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,6,tsc-13.948-14.786
7,7,tsc-20.289-20.289
7,6,tsc-13.948-14.786
6,6,tsc-16.934-17.416
7,7,tsc-13.948-14.786
7,6,tsc-16.934-17.416
4,4,tsc-20.289-20.289
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-16.934-17.416
6,5,tsc-19.361-19.555
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-16.934-17.416
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
5,5,tsc-10.523-10.750
6,6,tsc-10.523-10.750
6,5,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,4,tsc-13.948-14.786
4,4,tsc-21.170-21.550
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-13.948-14.786
6,5,tsc-13.948-14.786
5,5,tsc-13.948-14.786
6,6,tsc-15.945-16.342
6,5,tsc-16.934-17.416
3,3,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
4,4,tsc-13.948-14.786
5,5,tsc-16.934-17.416
5,4,tsc-19.361-19.555
4,4,tsc-16.934-17.416
5,5,tsc-19.361-19.555
5,4,tsc-16.934-17.416
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.523-10.750
2,2,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,3,tsc-10.523-10.750
3,3,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
5,4,tsc-10.753-11.091
4,4,tsc-10.523-10.750
5,5,tsc-10.523-10.750
